model,ngram,stop_words,n_comp,max_features,n_clusters,lemmatization,WSS,Silhouette Score
tfidf,"(1, 2)",None,100,1000,13,True,415.0466,0.0130
tfidf,"(1, 2)",None,100,5000,5,False,442.6233,0.0023
tfidf,"(1, 2)",None,100,5000,5,True,442.4460,0.0024
tfidf,"(1, 2)",None,100,5000,9,False,436.7162,0.0031
tfidf,"(1, 2)",None,100,5000,9,True,437.0806,0.0028
tfidf,"(1, 2)",None,100,5000,13,False,431.1242,0.0044
tfidf,"(1, 2)",None,100,5000,13,True,431.2435,0.0041
tfidf,"(1, 2)",english,50,1000,5,False,433.3858,0.0104
tfidf,"(1, 2)",english,50,1000,5,True,433.1230,0.0098
tfidf,"(1, 2)",english,50,1000,9,False,424.0243,0.0129
tfidf,"(1, 2)",english,50,1000,9,True,423.9717,0.0136
tfidf,"(1, 2)",english,50,1000,13,False,415.9678,0.0155
tfidf,"(1, 2)",english,50,1000,13,True,413.3323,0.0190
tfidf,"(1, 2)",english,50,5000,5,False,443.4054,0.0030
tfidf,"(1, 2)",english,50,5000,5,True,443.5177,0.0029
tfidf,"(1, 2)",english,50,5000,9,False,437.3802,0.0043
tfidf,"(1, 2)",english,50,5000,9,True,437.1527,0.0050
tfidf,"(1, 2)",english,50,5000,13,False,431.2266,0.0064
tfidf,"(1, 2)",english,50,5000,13,True,431.9717,0.0052
tfidf,"(1, 2)",english,100,1000,5,False,433.3858,0.0104
tfidf,"(1, 2)",english,100,1000,5,True,433.1230,0.0098
tfidf,"(1, 2)",english,100,1000,9,False,424.0243,0.0129
tfidf,"(1, 2)",english,100,1000,9,True,423.9717,0.0136
tfidf,"(1, 2)",english,100,1000,13,False,415.9678,0.0155
tfidf,"(1, 2)",english,100,1000,13,True,413.3323,0.0190
tfidf,"(1, 2)",english,100,5000,5,False,443.4054,0.0030
tfidf,"(1, 2)",english,100,5000,5,True,443.5177,0.0029
tfidf,"(1, 2)",english,100,5000,9,False,437.3802,0.0043
tfidf,"(1, 2)",english,100,5000,9,True,437.1527,0.0050
tfidf,"(1, 2)",english,100,5000,13,False,431.2266,0.0064
tfidf,"(1, 2)",english,100,5000,13,True,431.9717,0.0052
tfidf,"(1, 3)",None,50,1000,5,False,432.1858,0.0071
tfidf,"(1, 3)",None,50,1000,5,True,430.4426,0.0099
tfidf,"(1, 3)",None,50,1000,9,False,424.0744,0.0088
tfidf,"(1, 3)",None,50,1000,9,True,421.2366,0.0104
tfidf,"(1, 3)",None,50,1000,13,False,415.2762,0.0114
tfidf,"(1, 3)",None,50,1000,13,True,413.2987,0.0140
tfidf,"(1, 3)",None,50,5000,5,False,442.3275,0.0026
tfidf,"(1, 3)",None,50,5000,5,True,442.5718,0.0026
tfidf,"(1, 3)",None,50,5000,9,False,436.7031,0.0030
tfidf,"(1, 3)",None,50,5000,9,True,436.7192,0.0030
tfidf,"(1, 3)",None,50,5000,13,False,431.0834,0.0042
tfidf,"(1, 3)",None,50,5000,13,True,430.4846,0.0048
tfidf,"(1, 3)",None,100,1000,5,False,432.1858,0.0071
tfidf,"(1, 3)",None,100,1000,5,True,430.4426,0.0099
tfidf,"(1, 3)",None,100,1000,9,False,424.0744,0.0088
tfidf,"(1, 3)",None,100,1000,9,True,421.2366,0.0104
tfidf,"(1, 3)",None,100,1000,13,False,415.2762,0.0114
tfidf,"(1, 3)",None,100,1000,13,True,413.2987,0.0140
tfidf,"(1, 3)",None,100,5000,5,False,442.3275,0.0026
tfidf,"(1, 3)",None,100,5000,5,True,442.5718,0.0026
tfidf,"(1, 3)",None,100,5000,9,False,436.7031,0.0030
tfidf,"(1, 3)",None,100,5000,9,True,436.7192,0.0030
tfidf,"(1, 3)",None,100,5000,13,False,431.0834,0.0042
tfidf,"(1, 3)",None,100,5000,13,True,430.4846,0.0048
tfidf,"(1, 3)",english,50,1000,5,False,432.3968,0.0103
tfidf,"(1, 3)",english,50,1000,5,True,432.5035,0.0112
tfidf,"(1, 3)",english,50,1000,9,False,423.7567,0.0129
tfidf,"(1, 3)",english,50,1000,9,True,421.8397,0.0158
tfidf,"(1, 3)",english,50,1000,13,False,414.2921,0.0179
tfidf,"(1, 3)",english,50,1000,13,True,412.1838,0.0210
tfidf,"(1, 3)",english,50,5000,5,False,443.5441,0.0030
tfidf,"(1, 3)",english,50,5000,5,True,443.4671,0.0032
tfidf,"(1, 3)",english,50,5000,9,False,437.7005,0.0044
tfidf,"(1, 3)",english,50,5000,9,True,437.4693,0.0043
tfidf,"(1, 3)",english,50,5000,13,False,432.0577,0.0051
tfidf,"(1, 3)",english,50,5000,13,True,432.0039,0.0053
tfidf,"(1, 3)",english,100,1000,5,False,432.3968,0.0103
tfidf,"(1, 3)",english,100,1000,5,True,432.5035,0.0112
tfidf,"(1, 3)",english,100,1000,9,False,423.7567,0.0129
tfidf,"(1, 3)",english,100,1000,9,True,421.8397,0.0158
tfidf,"(1, 3)",english,100,1000,13,False,414.2921,0.0179
tfidf,"(1, 3)",english,100,1000,13,True,412.1838,0.0210
tfidf,"(1, 3)",english,100,5000,5,False,443.5441,0.0030
tfidf,"(1, 3)",english,100,5000,5,True,443.4671,0.0032
tfidf,"(1, 3)",english,100,5000,9,False,437.7005,0.0044
tfidf,"(1, 3)",english,100,5000,9,True,437.4693,0.0043
tfidf,"(1, 3)",english,100,5000,13,False,432.0577,0.0051
tfidf,"(1, 3)",english,100,5000,13,True,432.0039,0.0053
lsa,"(1, 1)",None,50,1000,5,False,125.8632,0.0337
lsa,"(1, 1)",None,50,1000,5,True,125.6824,0.0498
lsa,"(1, 1)",None,50,1000,9,False,117.0627,0.0550
lsa,"(1, 1)",None,50,1000,9,True,116.3358,0.0550
lsa,"(1, 1)",None,50,1000,13,False,108.7131,0.0541
lsa,"(1, 1)",None,50,1000,13,True,108.6988,0.0597
